Inflation rate,Unemployment rate,GDP growth rate,Crime rate,Healthcare access index,Education quality index,Infrastructure quality index,Population growth rate,Homelessness rate,Home ownership rate,Income inequality index,Immigration rate,Military strength index,Environmental sustainability index,Social cohesion index,Divorce rate,Average life expectancy,Median household income,Poverty rate,Education attainment level
9.89,9.32,4.87,53.92,11.25,66.23,42.03,-0.21,0.6,0.1,73.52,6.19,9.61,83.12,66.77,7.59,81.17,62779.97,35.52,69.02
3.69,14.13,-1.04,18.94,16.24,23.92,45.41,-1.72,0.16,0.86,68.76,7.23,49.72,11.91,31.71,8.11,63.46,73965.33,36.33,80.78
2.67,5.82,5.9,17.67,72.09,13.51,58.95,-1.9,0.29,0.05,77.75,9.84,61.97,67.52,46.7,1.67,82.04,83869.96,21.8,62.65
8.9,2.88,0.66,69.24,17.46,56.36,52.97,0.63,0.85,0.37,45.41,6.73,50.43,9.58,0.23,3.22,80.12,65159.58,31.66,25.18
3.97,2.84,-0.12,85.33,3.93,17.47,29.85,-0.24,0.02,0.7,5.98,3.37,0.13,73.5,11.97,1.91,83.81,51745.83,41.69,8.47
3.23,7.58,3.0,43.17,85.68,58.3,61.41,1.92,0.07,0.36,94.36,2.46,83.22,68.37,36.87,5.54,65.68,11439.68,14.44,47.59
8.81,1.09,7.1,67.89,63.47,1.1,91.6,-1.62,0.55,0.8,59.37,8.21,41.68,47.92,64.71,4.13,62.11,93542.19,37.69,33.53
9.31,15.0,6.87,61.85,79.75,26.17,89.01,-0.92,0.28,0.6,48.75,3.23,77.73,65.42,82.81,1.19,80.84,63554.19,46.24,86.9
5.83,4.54,-4.11,99.94,88.4,27.42,33.4,2.25,0.21,0.16,31.03,0.89,63.91,45.56,0.56,8.76,73.18,35335.11,35.14,56.2
3.03,13.56,7.05,18.95,5.08,19.02,74.01,-1.63,0.6,0.13,10.56,5.8,4.8,13.17,93.54,2.79,61.43,60445.25,3.14,37.78
3.32,3.31,7.93,61.17,31.18,18.54,39.81,1.24,0.06,0.48,30.11,1.99,53.37,9.47,85.53,2.0,67.86,27188.51,42.79,37.84
4.18,11.44,2.17,76.93,12.48,53.15,86.97,0.75,0.54,0.1,83.37,5.68,88.36,31.65,76.82,2.67,87.61,90692.83,10.28,31.47
7.79,14.52,1.69,37.17,51.62,2.17,84.07,-0.1,0.1,0.33,0.04,7.32,10.66,68.62,0.21,2.99,65.32,20258.15,45.8,86.55
4.83,5.68,-4.14,25.41,78.06,27.74,0.35,2.54,0.81,0.6,5.81,4.12,27.97,68.6,34.85,5.19,88.67,50003.86,3.69,66.27
0.47,2.16,4.47,10.54,17.95,88.3,62.91,-1.07,0.5,0.99,39.25,4.57,46.8,91.82,18.55,7.64,82.89,72532.93,3.08,76.14
