problem,a,b,c,d,odds_ratio,p_value,political_pole
Elder poverty rate,47,24,54,75,2.7199074074074074,0.0016539858304614303,left
Elder poverty rate,47,24,54,75,2.7199074074074074,0.0016539858304614303,right
Housing cost burden rate,61,52,26,61,2.7522189349112427,0.0010984636466890429,left
Housing cost burden rate,61,52,26,61,2.7522189349112427,0.0010984636466890429,right
Job insecurity prevalence,63,31,48,58,2.4556451612903225,0.0032304906953947994,left
Job insecurity prevalence,63,31,48,58,2.4556451612903225,0.0032304906953947994,right
Food insecurity prevalence,76,49,34,41,1.8703481392557022,0.04750893270660894,left
Food insecurity prevalence,76,49,34,41,1.8703481392557022,0.04750893270660894,right
Unemployment rate,99,31,38,32,2.6893039049235994,0.0025616722532566527,left
Unemployment rate,99,31,38,32,2.6893039049235994,0.0025616722532566527,right
Student debt burden ratio,53,33,44,70,2.5550964187327825,0.0020450128478453613,left
Student debt burden ratio,53,33,44,70,2.5550964187327825,0.0020450128478453613,right
Misinformation prevalence,62,18,67,53,2.724709784411277,0.00282457352403435,left
Misinformation prevalence,62,18,67,53,2.724709784411277,0.00282457352403435,right
Healthcare access gap,41,55,26,78,2.2363636363636363,0.012387974390850844,left
Healthcare access gap,41,55,26,78,2.2363636363636363,0.012387974390850844,right
Housing cost burden rate,53,23,57,67,2.7086193745232645,0.0017288855337853758,left
Housing cost burden rate,53,23,57,67,2.7086193745232645,0.0017288855337853758,right
Public space safety concerns rate,44,43,37,76,2.1018227529855436,0.016330372772313924,left
Public space safety concerns rate,44,43,37,76,2.1018227529855436,0.016330372772313924,right
Biodiversity loss index,38,56,22,84,2.590909090909091,0.004037430314663513,left
Biodiversity loss index,38,56,22,84,2.590909090909091,0.004037430314663513,right
Food insecurity prevalence,33,45,28,94,2.461904761904762,0.006095354769854159,left
Food insecurity prevalence,33,45,28,94,2.461904761904762,0.006095354769854159,right
Public debt-to-GDP ratio,33,45,33,89,1.9777777777777779,0.03714166710728098,left
Public debt-to-GDP ratio,33,45,33,89,1.9777777777777779,0.03714166710728098,right
Unemployment rate,59,18,67,56,2.7396351575456053,0.0026397197992854412,left
Unemployment rate,59,18,67,56,2.7396351575456053,0.0026397197992854412,right
Drug overdose death rate,64,60,22,54,2.618181818181818,0.0027396953929929107,left
Drug overdose death rate,64,60,22,54,2.618181818181818,0.0027396953929929107,right
Access gap to childcare services,45,61,19,75,2.911993097497843,0.0013120871644152503,left
Access gap to childcare services,45,61,19,75,2.911993097497843,0.0013120871644152503,right
Access gap to reliable electricity,62,71,20,47,2.052112676056338,0.03374704185646766,left
Access gap to reliable electricity,62,71,20,47,2.052112676056338,0.03374704185646766,right
