,value
Week1,111.55
Week2,80.92
Week3,112.81
Week4,76.01
Week5,73.42
Week6,103.18
Week7,85.45
Week8,99.71
Week9,87.94
Week10,105.44
Week11,83.18
Week12,80.1
Week13,73.58
Week14,85.07
Week15,101.92
Week16,87.57
Week17,116.35
Week18,74.16
Week19,98.37
Week20,103.66
Week21,106.29
Week22,95.69
Week23,100.29
Week24,78.92
Week25,97.77
Week26,102.85
Week27,97.94
Week28,86.12
Week29,97.15
Week30,62.22
Week31,114.52
Week32,110.33
Week33,90.98
Week34,78.06
Week35,88.75
Week36,71.06
Week37,82.89
Week38,79.48
Week39,88.87
Week40,102.72
Week41,88.27
Week42,86.62
Week43,84.22
Week44,81.21
Week45,76.72
Week46,92.86
Week47,92.8
Week48,98.73
Week49,79.54
Week50,67.98
Week51,81.16
Week52,57.9
