,value
Week1,84.08
Week2,121.76
Week3,114.98
Week4,92.51
Week5,98.03
Week6,89.76
Week7,120.65
Week8,115.41
Week9,126.89
Week10,78.5
Week11,107.28
Week12,95.13
Week13,107.36
Week14,102.58
Week15,132.51
Week16,94.76
Week17,104.91
Week18,116.95
Week19,103.23
Week20,97.91
Week21,107.66
Week22,117.38
Week23,82.23
Week24,99.07
Week25,110.39
Week26,109.37
Week27,99.54
Week28,109.43
Week29,88.03
Week30,84.92
Week31,60.92
Week32,89.96
Week33,104.84
Week34,96.43
Week35,122.54
Week36,94.51
Week37,113.72
Week38,91.27
Week39,94.1
Week40,97.99
Week41,102.1
Week42,93.9
Week43,106.56
Week44,123.8
Week45,92.52
Week46,94.93
Week47,94.11
Week48,91.01
Week49,111.35
Week50,74.73
Week51,89.97
Week52,97.83
