,value
Week1,98.11
Week2,64.66
Week3,113.11
Week4,97.87
Week5,114.73
Week6,111.97
Week7,94.06
Week8,113.32
Week9,98.99
Week10,100.16
Week11,104.15
Week12,111.03
Week13,107.52
Week14,117.49
Week15,114.38
Week16,123.57
Week17,108.68
Week18,91.72
Week19,134.17
Week20,106.22
Week21,111.02
Week22,114.68
Week23,144.59
Week24,148.52
Week25,113.0
Week26,127.05
Week27,133.81
Week28,115.7
Week29,105.64
Week30,116.93
Week31,136.5
Week32,101.78
Week33,112.91
Week34,120.74
Week35,141.53
Week36,87.65
Week37,123.35
Week38,115.93
Week39,131.94
Week40,109.12
Week41,112.94
Week42,103.33
Week43,105.76
Week44,111.81
Week45,142.26
Week46,139.79
Week47,121.99
Week48,109.56
Week49,106.46
Week50,118.15
Week51,140.5
Week52,114.38
