,value
Week1,110.32
Week2,93.69
Week3,89.64
Week4,99.68
Week5,91.53
Week6,88.17
Week7,70.16
Week8,106.48
Week9,107.3
Week10,87.91
Week11,101.87
Week12,117.24
Week13,108.1
Week14,99.55
Week15,102.81
Week16,100.47
Week17,102.02
Week18,91.31
Week19,102.57
Week20,114.55
Week21,77.27
Week22,83.87
Week23,95.82
Week24,85.25
Week25,78.47
Week26,82.81
Week27,89.02
Week28,89.93
Week29,113.24
Week30,91.35
Week31,110.52
Week32,75.67
Week33,100.02
Week34,106.48
Week35,99.22
Week36,90.61
Week37,91.01
Week38,84.57
Week39,98.96
Week40,49.53
Week41,79.67
Week42,86.54
Week43,82.04
Week44,101.27
Week45,90.47
Week46,69.31
Week47,71.73
Week48,61.72
Week49,88.62
Week50,81.18
Week51,73.38
Week52,59.16
