,value
Week1,102.86
Week2,88.29
Week3,90.28
Week4,116.32
Week5,90.88
Week6,139.35
Week7,117.3
Week8,124.75
Week9,100.54
Week10,103.6
Week11,95.5
Week12,117.52
Week13,92.3
Week14,110.15
Week15,76.36
Week16,122.55
Week17,115.67
Week18,101.86
Week19,140.06
Week20,114.33
Week21,131.66
Week22,86.91
Week23,122.99
Week24,116.8
Week25,106.73
Week26,106.66
Week27,113.84
Week28,95.16
Week29,110.84
Week30,92.79
Week31,102.5
Week32,89.42
Week33,121.25
Week34,99.34
Week35,104.96
Week36,98.22
Week37,84.79
Week38,94.96
Week39,68.29
Week40,98.87
Week41,107.78
Week42,98.42
Week43,99.18
Week44,99.88
Week45,102.64
Week46,80.06
Week47,109.98
Week48,82.3
Week49,84.25
Week50,81.09
Week51,98.39
Week52,107.72
