,value
Week1,78.75
Week2,94.34
Week3,83.46
Week4,93.3
Week5,106.93
Week6,107.75
Week7,98.76
Week8,117.47
Week9,108.35
Week10,97.39
Week11,90.93
Week12,76.94
Week13,100.12
Week14,111.26
Week15,108.89
Week16,96.41
Week17,98.95
Week18,119.77
Week19,106.78
Week20,87.59
Week21,81.63
Week22,103.33
Week23,89.03
Week24,124.15
Week25,114.21
Week26,122.33
Week27,84.51
Week28,108.5
Week29,105.49
Week30,99.54
Week31,102.68
Week32,137.89
Week33,111.75
Week34,120.27
Week35,119.26
Week36,121.64
Week37,122.06
Week38,142.12
Week39,114.41
Week40,106.6
Week41,124.01
Week42,111.16
Week43,116.0
Week44,107.11
Week45,107.09
Week46,86.49
Week47,123.19
Week48,110.94
Week49,140.33
Week50,145.39
Week51,105.45
Week52,111.71
