,value
Week1,124.55
Week2,109.32
Week3,96.65
Week4,101.41
Week5,87.57
Week6,96.99
Week7,111.58
Week8,89.5
Week9,93.23
Week10,83.83
Week11,90.17
Week12,97.45
Week13,66.6
Week14,74.11
Week15,105.57
Week16,84.32
Week17,83.01
Week18,81.18
Week19,106.06
Week20,93.48
Week21,74.62
Week22,74.52
Week23,44.86
Week24,107.82
Week25,88.59
Week26,80.69
Week27,73.77
Week28,101.42
Week29,83.41
Week30,87.51
Week31,92.2
Week32,83.85
Week33,85.89
Week34,92.81
Week35,64.92
Week36,67.71
Week37,60.58
Week38,71.16
Week39,93.73
Week40,92.44
Week41,97.85
Week42,81.78
Week43,97.91
Week44,99.43
Week45,93.3
Week46,68.84
Week47,72.81
Week48,67.94
Week49,92.5
Week50,94.75
Week51,92.97
Week52,46.3
