,value
Week1,128.49
Week2,79.1
Week3,107.95
Week4,103.42
Week5,130.39
Week6,88.35
Week7,129.88
Week8,95.28
Week9,99.81
Week10,125.59
Week11,96.01
Week12,120.4
Week13,111.9
Week14,135.29
Week15,87.09
Week16,114.55
Week17,114.99
Week18,92.62
Week19,110.19
Week20,122.8
Week21,131.13
Week22,119.98
Week23,90.46
Week24,111.42
Week25,94.25
Week26,120.7
Week27,95.93
Week28,55.11
Week29,94.62
Week30,113.63
Week31,76.69
Week32,63.39
Week33,132.41
Week34,111.98
Week35,98.53
Week36,69.24
Week37,95.83
Week38,105.95
Week39,116.38
Week40,104.38
Week41,82.42
Week42,91.15
Week43,65.22
Week44,119.23
Week45,90.14
Week46,65.99
Week47,111.71
Week48,91.32
Week49,111.72
Week50,74.14
Week51,71.95
Week52,112.92
