,value
Week1,114.85
Week2,94.45
Week3,110.11
Week4,71.48
Week5,70.16
Week6,130.69
Week7,93.15
Week8,112.75
Week9,103.31
Week10,92.67
Week11,120.31
Week12,105.45
Week13,115.49
Week14,114.57
Week15,101.27
Week16,82.5
Week17,102.54
Week18,105.49
Week19,96.5
Week20,94.47
Week21,112.02
Week22,92.64
Week23,81.23
Week24,80.72
Week25,77.02
Week26,85.32
Week27,121.6
Week28,82.43
Week29,103.81
Week30,117.26
Week31,107.81
Week32,110.78
Week33,132.94
Week34,117.82
Week35,137.32
Week36,119.09
Week37,125.14
Week38,107.04
Week39,119.44
Week40,118.57
Week41,109.84
Week42,112.5
Week43,87.92
Week44,150.24
Week45,125.79
Week46,110.04
Week47,92.2
Week48,142.31
Week49,107.68
Week50,122.9
Week51,127.75
Week52,120.26
