,value
Week1,115.91
Week2,90.86
Week3,116.57
Week4,96.32
Week5,102.17
Week6,117.56
Week7,102.69
Week8,81.29
Week9,112.53
Week10,96.79
Week11,104.24
Week12,86.6
Week13,101.43
Week14,79.77
Week15,94.11
Week16,82.43
Week17,71.44
Week18,101.81
Week19,98.89
Week20,91.05
Week21,86.71
Week22,78.87
Week23,90.7
Week24,75.2
Week25,101.33
Week26,85.11
Week27,105.58
Week28,92.03
Week29,103.81
Week30,81.63
Week31,94.57
Week32,95.55
Week33,79.76
Week34,50.54
Week35,81.53
Week36,102.51
Week37,49.58
Week38,91.41
Week39,95.13
Week40,90.94
Week41,88.3
Week42,67.17
Week43,76.06
Week44,102.65
Week45,86.77
Week46,85.28
Week47,70.8
Week48,77.65
Week49,59.42
Week50,84.36
Week51,82.62
Week52,90.23
