,value
Week1,91.55
Week2,98.86
Week3,99.29
Week4,82.01
Week5,128.6
Week6,105.54
Week7,89.03
Week8,135.99
Week9,98.56
Week10,75.29
Week11,99.28
Week12,119.94
Week13,108.14
Week14,103.82
Week15,95.74
Week16,90.73
Week17,100.05
Week18,110.07
Week19,106.53
Week20,98.61
Week21,129.55
Week22,114.81
Week23,70.99
Week24,109.98
Week25,110.96
Week26,87.67
Week27,110.75
Week28,111.26
Week29,95.78
Week30,103.61
Week31,110.18
Week32,80.1
Week33,108.17
Week34,104.73
Week35,128.89
Week36,102.01
Week37,125.75
Week38,118.2
Week39,110.85
Week40,106.99
Week41,88.97
Week42,96.45
Week43,116.91
Week44,103.73
Week45,114.51
Week46,98.75
Week47,122.2
Week48,99.37
Week49,103.27
Week50,117.12
Week51,113.26
Week52,100.94
