,value
Week1,114.4
Week2,108.69
Week3,88.99
Week4,83.24
Week5,115.49
Week6,106.01
Week7,106.14
Week8,111.83
Week9,105.17
Week10,94.05
Week11,106.38
Week12,108.87
Week13,104.2
Week14,107.22
Week15,100.61
Week16,78.91
Week17,100.06
Week18,123.02
Week19,110.38
Week20,106.35
Week21,98.83
Week22,126.09
Week23,142.82
Week24,95.54
Week25,111.5
Week26,98.4
Week27,110.44
Week28,86.82
Week29,105.86
Week30,135.81
Week31,128.65
Week32,76.61
Week33,112.67
Week34,118.44
Week35,106.53
Week36,105.64
Week37,128.19
Week38,130.33
Week39,130.74
Week40,113.49
Week41,113.18
Week42,104.17
Week43,122.57
Week44,143.19
Week45,135.1
Week46,119.5
Week47,103.06
Week48,120.05
Week49,129.22
Week50,123.84
Week51,100.05
Week52,104.29
