,value
Week1,114.33
Week2,131.86
Week3,87.03
Week4,91.43
Week5,110.46
Week6,82.84
Week7,77.23
Week8,107.2
Week9,102.81
Week10,103.49
Week11,81.64
Week12,121.56
Week13,89.96
Week14,107.68
Week15,91.14
Week16,98.44
Week17,109.37
Week18,93.06
Week19,101.92
Week20,107.67
Week21,80.42
Week22,81.15
Week23,95.68
Week24,59.31
Week25,95.34
Week26,84.17
Week27,92.78
Week28,106.78
Week29,89.45
Week30,79.61
Week31,103.61
Week32,71.44
Week33,91.44
Week34,88.16
Week35,92.9
Week36,66.46
Week37,75.25
Week38,63.87
Week39,83.48
Week40,94.16
Week41,58.6
Week42,91.28
Week43,77.11
Week44,80.4
Week45,105.82
Week46,81.7
Week47,78.59
Week48,73.86
Week49,72.74
Week50,67.36
Week51,69.9
Week52,93.34
