,value
Week1,90.99
Week2,109.61
Week3,115.01
Week4,110.67
Week5,96.06
Week6,91.44
Week7,102.21
Week8,105.9
Week9,105.89
Week10,98.58
Week11,95.06
Week12,103.85
Week13,91.84
Week14,113.35
Week15,114.72
Week16,83.28
Week17,86.03
Week18,114.38
Week19,104.97
Week20,76.78
Week21,101.78
Week22,100.59
Week23,89.09
Week24,112.28
Week25,81.68
Week26,103.17
Week27,102.76
Week28,77.12
Week29,95.82
Week30,90.19
Week31,79.38
Week32,92.31
Week33,74.76
Week34,102.61
Week35,101.25
Week36,88.56
Week37,112.01
Week38,68.61
Week39,93.16
Week40,102.17
Week41,110.02
Week42,95.64
Week43,84.82
Week44,95.35
Week45,106.2
Week46,93.79
Week47,93.46
Week48,98.67
Week49,118.85
Week50,84.14
Week51,73.15
Week52,105.54
