,value
Week1,74.76
Week2,108.36
Week3,110.87
Week4,123.31
Week5,80.81
Week6,88.22
Week7,76.53
Week8,110.13
Week9,102.57
Week10,110.63
Week11,71.62
Week12,120.49
Week13,110.05
Week14,90.95
Week15,114.78
Week16,125.9
Week17,93.44
Week18,118.55
Week19,108.69
Week20,105.91
Week21,115.28
Week22,118.11
Week23,106.14
Week24,111.78
Week25,117.0
Week26,86.1
Week27,125.43
Week28,116.23
Week29,118.18
Week30,94.07
Week31,118.2
Week32,111.86
Week33,101.9
Week34,89.84
Week35,110.0
Week36,106.29
Week37,111.8
Week38,107.69
Week39,105.55
Week40,142.43
Week41,118.71
Week42,109.82
Week43,130.32
Week44,106.7
Week45,99.13
Week46,118.76
Week47,104.58
Week48,105.67
Week49,132.23
Week50,122.91
Week51,118.16
Week52,127.0
