,value
Week1,124.92
Week2,100.7
Week3,129.39
Week4,103.67
Week5,127.57
Week6,98.91
Week7,94.96
Week8,97.11
Week9,83.3
Week10,92.08
Week11,100.78
Week12,79.09
Week13,88.04
Week14,105.74
Week15,84.87
Week16,105.0
Week17,123.48
Week18,98.55
Week19,95.32
Week20,88.27
Week21,78.58
Week22,88.67
Week23,60.64
Week24,94.58
Week25,91.51
Week26,79.28
Week27,93.82
Week28,109.43
Week29,82.75
Week30,70.58
Week31,82.45
Week32,95.6
Week33,90.12
Week34,79.71
Week35,65.43
Week36,95.48
Week37,91.54
Week38,81.81
Week39,91.68
Week40,86.3
Week41,76.42
Week42,96.14
Week43,98.67
Week44,59.58
Week45,64.96
Week46,81.46
Week47,81.85
Week48,54.24
Week49,85.66
Week50,82.6
Week51,76.83
Week52,93.85
