,value
Week1,84.0
Week2,70.31
Week3,107.28
Week4,70.36
Week5,78.17
Week6,92.72
Week7,88.62
Week8,95.2
Week9,101.56
Week10,100.75
Week11,86.88
Week12,100.08
Week13,93.38
Week14,125.14
Week15,101.97
Week16,99.86
Week17,113.95
Week18,104.34
Week19,98.9
Week20,94.98
Week21,74.29
Week22,71.6
Week23,142.72
Week24,93.17
Week25,87.72
Week26,57.73
Week27,106.69
Week28,90.81
Week29,113.0
Week30,117.42
Week31,87.13
Week32,95.75
Week33,114.4
Week34,104.46
Week35,99.6
Week36,104.99
Week37,91.62
Week38,89.67
Week39,84.95
Week40,131.59
Week41,96.85
Week42,117.88
Week43,80.69
Week44,130.46
Week45,98.49
Week46,108.53
Week47,89.73
Week48,72.0
Week49,108.49
Week50,120.7
Week51,109.6
Week52,100.65
