,value
Week1,129.39
Week2,73.65
Week3,109.65
Week4,104.76
Week5,104.12
Week6,106.04
Week7,122.38
Week8,98.83
Week9,119.87
Week10,110.61
Week11,92.54
Week12,126.33
Week13,88.55
Week14,101.13
Week15,115.72
Week16,98.58
Week17,94.52
Week18,132.72
Week19,117.72
Week20,128.38
Week21,94.27
Week22,100.11
Week23,105.47
Week24,100.01
Week25,118.83
Week26,119.02
Week27,94.55
Week28,76.27
Week29,101.48
Week30,97.63
Week31,127.59
Week32,95.37
Week33,122.45
Week34,127.71
Week35,112.34
Week36,107.02
Week37,150.38
Week38,91.85
Week39,125.57
Week40,126.64
Week41,137.7
Week42,107.43
Week43,156.22
Week44,127.57
Week45,98.14
Week46,136.33
Week47,126.79
Week48,122.99
Week49,99.59
Week50,116.02
Week51,111.47
Week52,118.87
