,value
Week1,116.21
Week2,101.85
Week3,100.12
Week4,92.68
Week5,94.72
Week6,109.82
Week7,85.86
Week8,102.57
Week9,113.65
Week10,93.59
Week11,81.72
Week12,106.87
Week13,94.29
Week14,95.71
Week15,96.5
Week16,98.19
Week17,79.6
Week18,106.27
Week19,69.28
Week20,98.36
Week21,122.52
Week22,99.5
Week23,105.01
Week24,99.72
Week25,91.13
Week26,79.77
Week27,111.63
Week28,101.47
Week29,102.89
Week30,88.26
Week31,91.43
Week32,97.49
Week33,87.5
Week34,83.85
Week35,86.56
Week36,61.25
Week37,61.86
Week38,83.96
Week39,111.58
Week40,83.48
Week41,69.08
Week42,64.64
Week43,85.72
Week44,69.18
Week45,55.44
Week46,73.01
Week47,57.89
Week48,79.0
Week49,85.82
Week50,87.29
Week51,96.8
Week52,61.53
