,value
Week1,107.51
Week2,90.54
Week3,101.13
Week4,110.63
Week5,98.77
Week6,98.31
Week7,118.56
Week8,89.51
Week9,100.38
Week10,110.86
Week11,110.0
Week12,78.57
Week13,98.25
Week14,111.19
Week15,87.4
Week16,120.99
Week17,114.1
Week18,129.49
Week19,87.74
Week20,131.12
Week21,104.43
Week22,64.7
Week23,100.59
Week24,92.05
Week25,90.93
Week26,114.52
Week27,109.36
Week28,114.31
Week29,117.33
Week30,91.47
Week31,93.32
Week32,96.91
Week33,128.77
Week34,99.54
Week35,82.53
Week36,106.81
Week37,101.45
Week38,83.53
Week39,97.46
Week40,92.29
Week41,90.39
Week42,91.33
Week43,107.65
Week44,89.36
Week45,81.66
Week46,98.72
Week47,117.96
Week48,105.05
Week49,78.55
Week50,113.67
Week51,94.34
Week52,82.58
