,value
Week1,103.13
Week2,87.9
Week3,79.91
Week4,120.32
Week5,110.5
Week6,93.96
Week7,104.37
Week8,107.29
Week9,92.01
Week10,100.85
Week11,94.67
Week12,109.34
Week13,90.05
Week14,119.29
Week15,116.81
Week16,113.55
Week17,100.69
Week18,72.33
Week19,116.91
Week20,112.59
Week21,132.7
Week22,101.77
Week23,128.47
Week24,128.11
Week25,112.02
Week26,84.32
Week27,91.69
Week28,99.96
Week29,96.18
Week30,129.17
Week31,79.55
Week32,82.11
Week33,97.9
Week34,121.92
Week35,108.05
Week36,96.59
Week37,129.64
Week38,143.47
Week39,120.07
Week40,112.15
Week41,107.04
Week42,119.57
Week43,96.06
Week44,120.46
Week45,128.02
Week46,135.94
Week47,98.29
Week48,124.91
Week49,135.26
Week50,116.58
Week51,129.87
Week52,127.29
