,value
Week1,117.09
Week2,86.33
Week3,79.85
Week4,89.34
Week5,99.2
Week6,98.04
Week7,80.71
Week8,101.35
Week9,74.24
Week10,94.39
Week11,118.63
Week12,91.06
Week13,77.94
Week14,112.11
Week15,76.3
Week16,94.82
Week17,112.97
Week18,76.72
Week19,96.29
Week20,89.57
Week21,79.86
Week22,85.32
Week23,98.98
Week24,123.78
Week25,96.46
Week26,113.86
Week27,92.52
Week28,125.54
Week29,112.96
Week30,121.84
Week31,88.36
Week32,72.12
Week33,104.76
Week34,95.35
Week35,123.59
Week36,49.09
Week37,78.37
Week38,95.2
Week39,83.51
Week40,71.37
Week41,117.0
Week42,47.96
Week43,107.91
Week44,65.55
Week45,84.17
Week46,83.32
Week47,80.24
Week48,95.65
Week49,67.5
Week50,61.23
Week51,82.88
Week52,96.35
