,value
Week1,99.63
Week2,89.18
Week3,105.46
Week4,99.9
Week5,105.35
Week6,122.38
Week7,94.97
Week8,115.69
Week9,103.15
Week10,89.17
Week11,103.71
Week12,105.36
Week13,80.71
Week14,89.83
Week15,126.36
Week16,105.21
Week17,129.93
Week18,105.27
Week19,111.09
Week20,114.6
Week21,103.3
Week22,94.09
Week23,108.5
Week24,113.17
Week25,123.56
Week26,126.46
Week27,114.95
Week28,123.31
Week29,114.28
Week30,104.17
Week31,74.93
Week32,114.85
Week33,129.96
Week34,131.33
Week35,127.81
Week36,110.1
Week37,122.38
Week38,100.1
Week39,116.47
Week40,113.68
Week41,95.05
Week42,98.47
Week43,139.26
Week44,93.7
Week45,133.73
Week46,115.6
Week47,145.37
Week48,135.43
Week49,111.13
Week50,114.66
Week51,134.56
Week52,123.05
