,value
Week1,102.02
Week2,95.72
Week3,99.36
Week4,127.29
Week5,123.31
Week6,107.76
Week7,112.03
Week8,103.96
Week9,112.14
Week10,83.27
Week11,95.62
Week12,99.87
Week13,95.31
Week14,93.57
Week15,123.34
Week16,87.82
Week17,77.47
Week18,111.78
Week19,51.42
Week20,104.52
Week21,105.93
Week22,78.59
Week23,110.06
Week24,75.49
Week25,56.66
Week26,69.63
Week27,94.38
Week28,79.0
Week29,110.78
Week30,72.7
Week31,124.45
Week32,83.12
Week33,97.62
Week34,109.31
Week35,83.01
Week36,91.07
Week37,110.87
Week38,86.03
Week39,83.14
Week40,96.56
Week41,64.83
Week42,96.9
Week43,110.11
Week44,75.67
Week45,82.42
Week46,85.65
Week47,101.25
Week48,76.23
Week49,84.19
Week50,55.51
Week51,92.78
Week52,66.4
