,value
Week1,97.74
Week2,86.59
Week3,96.92
Week4,119.1
Week5,93.72
Week6,92.92
Week7,95.49
Week8,105.39
Week9,86.4
Week10,84.08
Week11,91.76
Week12,97.28
Week13,98.03
Week14,96.26
Week15,96.77
Week16,91.12
Week17,94.1
Week18,110.02
Week19,107.69
Week20,133.18
Week21,86.33
Week22,95.45
Week23,97.18
Week24,83.88
Week25,87.75
Week26,99.33
Week27,114.46
Week28,77.1
Week29,96.12
Week30,120.83
Week31,103.77
Week32,112.89
Week33,80.93
Week34,98.68
Week35,87.34
Week36,104.9
Week37,88.11
Week38,110.05
Week39,104.29
Week40,108.34
Week41,120.17
Week42,105.8
Week43,85.51
Week44,106.15
Week45,72.81
Week46,102.04
Week47,115.47
Week48,104.83
Week49,109.17
Week50,104.18
Week51,127.08
Week52,113.67
