,value
Week1,93.66
Week2,99.09
Week3,108.21
Week4,79.18
Week5,112.74
Week6,106.46
Week7,92.02
Week8,103.5
Week9,91.03
Week10,87.37
Week11,92.21
Week12,94.43
Week13,78.43
Week14,105.12
Week15,119.79
Week16,92.29
Week17,97.12
Week18,99.98
Week19,112.75
Week20,100.21
Week21,74.3
Week22,121.93
Week23,122.87
Week24,88.97
Week25,104.53
Week26,110.53
Week27,118.74
Week28,137.5
Week29,109.22
Week30,110.99
Week31,106.18
Week32,111.98
Week33,90.21
Week34,97.93
Week35,93.08
Week36,121.21
Week37,99.73
Week38,124.72
Week39,103.39
Week40,123.65
Week41,130.1
Week42,151.68
Week43,112.08
Week44,115.28
Week45,113.41
Week46,119.74
Week47,94.38
Week48,153.78
Week49,140.07
Week50,95.95
Week51,107.91
Week52,89.43
