,value
Week1,109.89
Week2,88.29
Week3,91.17
Week4,104.49
Week5,76.83
Week6,120.13
Week7,98.02
Week8,78.7
Week9,113.96
Week10,90.09
Week11,65.31
Week12,95.82
Week13,90.21
Week14,84.29
Week15,76.07
Week16,83.83
Week17,76.2
Week18,124.39
Week19,90.74
Week20,108.8
Week21,105.46
Week22,82.25
Week23,113.95
Week24,90.83
Week25,92.09
Week26,89.15
Week27,70.99
Week28,93.46
Week29,107.75
Week30,103.74
Week31,95.73
Week32,120.34
Week33,74.71
Week34,108.51
Week35,86.63
Week36,79.53
Week37,85.0
Week38,101.29
Week39,73.9
Week40,73.75
Week41,79.4
Week42,57.11
Week43,100.98
Week44,87.65
Week45,93.27
Week46,78.72
Week47,69.19
Week48,68.39
Week49,74.41
Week50,81.69
Week51,87.05
Week52,81.19
