,value
Week1,105.08
Week2,80.33
Week3,99.75
Week4,87.14
Week5,88.37
Week6,93.86
Week7,122.6
Week8,128.76
Week9,98.57
Week10,102.48
Week11,93.88
Week12,122.92
Week13,112.79
Week14,121.86
Week15,121.68
Week16,62.59
Week17,96.78
Week18,115.9
Week19,109.57
Week20,82.39
Week21,103.65
Week22,83.86
Week23,105.34
Week24,91.47
Week25,126.34
Week26,117.42
Week27,123.67
Week28,102.64
Week29,103.68
Week30,110.55
Week31,111.56
Week32,124.83
Week33,118.43
Week34,113.53
Week35,84.38
Week36,108.82
Week37,137.59
Week38,109.54
Week39,100.1
Week40,126.27
Week41,117.16
Week42,102.1
Week43,132.29
Week44,123.93
Week45,117.78
Week46,112.07
Week47,113.56
Week48,137.89
Week49,137.77
Week50,124.9
Week51,113.09
Week52,115.42
