,value
Week1,117.63
Week2,88.94
Week3,120.51
Week4,124.96
Week5,75.0
Week6,104.15
Week7,88.93
Week8,90.24
Week9,113.67
Week10,129.87
Week11,89.54
Week12,104.96
Week13,81.51
Week14,80.05
Week15,94.51
Week16,102.1
Week17,80.96
Week18,104.38
Week19,87.64
Week20,86.1
Week21,92.06
Week22,83.3
Week23,100.64
Week24,86.84
Week25,100.95
Week26,107.41
Week27,83.96
Week28,75.71
Week29,84.86
Week30,77.48
Week31,102.29
Week32,94.97
Week33,68.7
Week34,85.81
Week35,95.53
Week36,107.25
Week37,98.1
Week38,72.52
Week39,90.58
Week40,86.76
Week41,110.29
Week42,66.09
Week43,78.09
Week44,70.66
Week45,85.47
Week46,65.51
Week47,83.03
Week48,88.77
Week49,74.26
Week50,64.72
Week51,89.0
Week52,103.93
