,value
Week1,98.44
Week2,105.86
Week3,103.07
Week4,105.53
Week5,99.12
Week6,104.77
Week7,98.17
Week8,88.36
Week9,83.18
Week10,75.09
Week11,83.97
Week12,87.54
Week13,88.52
Week14,116.9
Week15,116.26
Week16,105.95
Week17,78.88
Week18,118.82
Week19,93.48
Week20,107.5
Week21,85.29
Week22,89.84
Week23,84.4
Week24,99.34
Week25,74.63
Week26,115.8
Week27,99.07
Week28,104.66
Week29,121.0
Week30,107.84
Week31,111.84
Week32,97.41
Week33,93.65
Week34,86.6
Week35,127.71
Week36,96.73
Week37,79.77
Week38,101.27
Week39,107.54
Week40,100.29
Week41,112.84
Week42,90.09
Week43,94.16
Week44,111.6
Week45,95.01
Week46,135.47
Week47,125.63
Week48,92.54
Week49,112.53
Week50,124.38
Week51,93.19
Week52,113.64
