,value
Week1,93.38
Week2,98.17
Week3,111.49
Week4,98.39
Week5,102.2
Week6,75.71
Week7,121.39
Week8,86.46
Week9,119.35
Week10,108.49
Week11,104.83
Week12,117.05
Week13,94.45
Week14,116.92
Week15,110.13
Week16,110.37
Week17,121.13
Week18,104.81
Week19,98.27
Week20,108.41
Week21,111.03
Week22,100.56
Week23,110.36
Week24,110.61
Week25,82.52
Week26,90.13
Week27,112.25
Week28,91.96
Week29,86.0
Week30,83.58
Week31,133.41
Week32,95.07
Week33,107.71
Week34,103.26
Week35,113.36
Week36,116.81
Week37,110.26
Week38,114.68
Week39,109.66
Week40,128.66
Week41,83.17
Week42,115.53
Week43,113.56
Week44,130.02
Week45,91.38
Week46,134.54
Week47,107.59
Week48,129.61
Week49,119.73
Week50,98.95
Week51,135.92
Week52,125.59
