,value
Week1,127.16
Week2,86.3
Week3,109.75
Week4,111.44
Week5,120.56
Week6,108.96
Week7,92.79
Week8,110.19
Week9,79.12
Week10,98.18
Week11,80.23
Week12,115.38
Week13,97.52
Week14,106.96
Week15,87.91
Week16,89.38
Week17,105.81
Week18,87.75
Week19,84.18
Week20,88.07
Week21,92.92
Week22,105.8
Week23,90.75
Week24,83.24
Week25,80.26
Week26,78.17
Week27,87.83
Week28,94.84
Week29,93.82
Week30,81.98
Week31,101.69
Week32,89.79
Week33,80.46
Week34,102.31
Week35,80.78
Week36,98.96
Week37,93.72
Week38,77.14
Week39,86.17
Week40,94.48
Week41,67.75
Week42,95.33
Week43,88.01
Week44,101.53
Week45,99.73
Week46,70.03
Week47,77.23
Week48,94.8
Week49,80.52
Week50,58.05
Week51,76.42
Week52,73.94
