,value
Week1,129.45
Week2,96.79
Week3,138.09
Week4,125.23
Week5,94.25
Week6,82.4
Week7,99.7
Week8,88.45
Week9,92.08
Week10,78.83
Week11,127.69
Week12,112.02
Week13,79.99
Week14,118.8
Week15,80.85
Week16,106.55
Week17,113.33
Week18,114.55
Week19,125.44
Week20,75.0
Week21,111.81
Week22,107.77
Week23,112.73
Week24,64.53
Week25,112.77
Week26,103.89
Week27,85.21
Week28,132.79
Week29,89.12
Week30,78.75
Week31,102.41
Week32,98.16
Week33,96.74
Week34,123.73
Week35,107.08
Week36,70.71
Week37,92.81
Week38,94.53
Week39,88.27
Week40,96.96
Week41,75.12
Week42,114.92
Week43,96.12
Week44,116.17
Week45,109.22
Week46,81.83
Week47,86.41
Week48,93.22
Week49,92.11
Week50,80.24
Week51,90.03
Week52,83.0
