,value
Week1,102.65
Week2,93.0
Week3,129.92
Week4,112.17
Week5,90.11
Week6,128.16
Week7,115.76
Week8,92.31
Week9,87.46
Week10,105.61
Week11,99.98
Week12,118.1
Week13,103.56
Week14,112.1
Week15,124.16
Week16,110.52
Week17,128.55
Week18,124.4
Week19,69.24
Week20,74.37
Week21,110.81
Week22,135.59
Week23,100.15
Week24,116.16
Week25,110.38
Week26,103.62
Week27,101.16
Week28,110.96
Week29,87.84
Week30,110.77
Week31,119.24
Week32,125.49
Week33,116.26
Week34,106.98
Week35,113.47
Week36,116.31
Week37,97.23
Week38,127.59
Week39,101.45
Week40,128.55
Week41,131.6
Week42,116.03
Week43,159.31
Week44,94.53
Week45,138.66
Week46,99.03
Week47,142.24
Week48,106.15
Week49,114.5
Week50,96.89
Week51,135.06
Week52,113.21
