,value
Week1,100.15
Week2,66.47
Week3,129.08
Week4,109.55
Week5,96.89
Week6,89.2
Week7,67.09
Week8,96.47
Week9,94.03
Week10,88.04
Week11,93.12
Week12,112.22
Week13,90.84
Week14,104.21
Week15,105.77
Week16,100.08
Week17,82.69
Week18,117.63
Week19,112.49
Week20,70.67
Week21,108.62
Week22,113.65
Week23,108.11
Week24,64.11
Week25,95.99
Week26,118.73
Week27,108.47
Week28,72.55
Week29,84.25
Week30,99.57
Week31,79.21
Week32,95.73
Week33,120.03
Week34,74.21
Week35,85.56
Week36,80.93
Week37,98.6
Week38,75.85
Week39,92.67
Week40,71.12
Week41,66.49
Week42,58.36
Week43,78.8
Week44,102.44
Week45,58.04
Week46,104.5
Week47,76.03
Week48,84.51
Week49,80.62
Week50,100.56
Week51,66.61
Week52,71.0
