,value
Week1,119.59
Week2,116.59
Week3,118.68
Week4,103.93
Week5,94.02
Week6,122.8
Week7,107.25
Week8,109.3
Week9,113.26
Week10,102.59
Week11,92.36
Week12,90.84
Week13,113.86
Week14,87.87
Week15,115.38
Week16,128.67
Week17,107.28
Week18,114.58
Week19,126.52
Week20,91.41
Week21,97.29
Week22,97.25
Week23,98.57
Week24,112.54
Week25,109.67
Week26,85.54
Week27,107.54
Week28,107.06
Week29,86.39
Week30,73.95
Week31,96.42
Week32,80.09
Week33,87.74
Week34,97.33
Week35,67.23
Week36,112.25
Week37,94.13
Week38,105.9
Week39,82.42
Week40,107.3
Week41,83.3
Week42,98.97
Week43,110.89
Week44,136.62
Week45,94.35
Week46,108.05
Week47,115.13
Week48,100.74
Week49,93.42
Week50,98.29
Week51,83.19
Week52,82.6
