,value
Week1,70.41
Week2,110.89
Week3,124.96
Week4,97.32
Week5,78.18
Week6,80.58
Week7,104.55
Week8,104.74
Week9,89.17
Week10,111.05
Week11,96.25
Week12,96.54
Week13,103.94
Week14,105.93
Week15,121.22
Week16,99.4
Week17,116.49
Week18,84.49
Week19,128.45
Week20,103.18
Week21,126.03
Week22,126.53
Week23,125.31
Week24,116.69
Week25,135.31
Week26,110.63
Week27,117.47
Week28,115.64
Week29,97.89
Week30,114.28
Week31,112.04
Week32,89.35
Week33,101.81
Week34,111.29
Week35,107.71
Week36,129.96
Week37,105.4
Week38,106.8
Week39,117.11
Week40,88.23
Week41,110.13
Week42,80.18
Week43,117.46
Week44,83.6
Week45,123.37
Week46,137.88
Week47,119.41
Week48,112.8
Week49,136.17
Week50,102.26
Week51,140.23
Week52,114.99
