index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
4142,Modern Physics,Quantum Mechanics,Linear Dynamics Problems,"At \( t=0 \), a particle in the potential \( V(x)=\frac{1}{2} m \omega^{2} x^{2} \) is described by the wave function

\[
\psi(x, 0)=A \sum_{n}\left(\frac{1}{\sqrt{2}}\right)^{n} \psi_{n}(x)
\]

where \( \psi_{n}(x) \) is the energy eigenstate with energy

\[
E_{n}=\left(n + \frac{1}{2}\right) \hbar \omega
\]

and \(\left(\psi_{n}, \psi_{n^{\prime}}\right) = \delta_{n n^{\prime}}\). Find the normalization constant \( A \).","We have:

\[
(\psi(x, 0), \psi(x, 0))=|A|^{2} \sum_{m,n}\left(\frac{1}{2}\right)^{(m+n) / 2}\left(\psi_{n}, \psi_{m}\right)=2|A|^{2}
\]

Assuming \( A \) is a positive real number

\[
A=\frac{1}{\sqrt{2}}
\]",\boxed{\frac{1}{\sqrt{2}}},NV,,False,EN,Laws Application
4143,Modern Physics,Quantum Mechanics,Basic Principles of Quantum Mechanics,"In spherical coordinates, the wave function of a particle is given by $\psi(r, \theta, \varphi)$. Find the probability of locating the particle within the solid angle $\mathrm{d} \Omega$ in the direction of $(\theta, \varphi)$.","The probability of finding the particle within the solid angle $\mathrm{d} \Omega$ in the direction of $(\theta, \varphi)$ is

$$
P(\theta, \varphi) \mathrm{d} \Omega = \left(\int_{0}^{\infty} |\psi(r, \theta, \varphi)|^{2} r^{2} \, \mathrm{d} r \right) \mathrm{d} \Omega
$$","\boxed{\left(\int_{0}^{\infty} |\psi(r, \theta, \varphi)|^{2} r^{2} \, \mathrm{d} r \right)}",EX,\mathrm{d} \Omega,False,EN,Knowledge Recall
4144,Modern Physics,Quantum Mechanics,Basic Principles of Quantum Mechanics,"Derive, estimate, guess, or memorize the lifetime of the \(\pi^{0}\) meson.",\(\tau=0.828 \times 10^{-16} \mathrm{~s}\).,\boxed{0.828 \times 10^{-16}},NV,\mathrm{s},False,EN,Knowledge Recall
4145,Modern Physics,Quantum Mechanics,Linear Dynamics Problems,"Given a one-dimensional potential function of a particle \( V(x) = \frac{\hbar^{2} \alpha^{4} x^{2}}{2 m} \), verify whether the motion state can be described by the energy \( E = \frac{3 \alpha^{2} \hbar^{2}}{2 m} \).","When \( E = \frac{3 \alpha^{2} \hbar^{2}}{2 m} \), the potential field is 

$$
V(x) = \frac{\hbar^{2} \alpha^{4} x^{2}}{2 m}
$$

Then this potential field is consistent with \( E \), satisfying the time-independent Schrödinger equation.",\boxed{Yes},TF,,False,EN,Knowledge Recall
4146,Modern Physics,Quantum Mechanics,Basic Principles of Quantum Mechanics,The de Broglie wavelength of a proton accelerated by \(10000 \ \text{V}\) voltage.,"The rest mass of the proton is

\[
m_{\mathrm{p}} c^{2} \approx 9.39 \times 10^{8} \ \text{eV}
\]

When the proton acquires a kinetic energy of \(10^{4} \ \text{eV}\), the corresponding de Broglie wavelength can be obtained using the non-relativistic relation

\[
\lambda_{\mathrm{p}} = \frac{h}{\sqrt{2 m_{\mathrm{p}} e V}} \approx 2.9 \times 10^{-13} \ \text{m} = 0.0029 \ \text{Å}
\]",\boxed{0.0029},NV,\text{},False,EN,
4147,Modern Physics,Quantum Mechanics,Basic Principles of Quantum Mechanics,"Given three normalized degenerate states $\left(\psi_{1}, \psi_{2}, \psi_{3}\right)$ belonging to a certain energy level $E$, which are linearly independent but not orthogonal, will the orthogonalized wave functions still be degenerate?","Since $e_{1}, e_{2}, e_{3}$ are linear combinations of $\psi_{1}, \psi_{2}, \psi_{3}$, they will still be degenerate.",\boxed{Yes},TF,,False,EN,Knowledge Recall
4148,Modern Physics,Quantum Mechanics,Linear Dynamics Problems,A particle of mass \( m \) is moving in one dimension under the influence of a potential \( V(x) \). Suppose it is in the energy eigenstate \( E=\frac{\hbar^{2} \gamma^{2}}{2 m} \) with wave function \(\psi(x)=\left(\frac{\gamma^{2}}{\pi}\right)^{1 / 4} \mathrm{e}^{-\gamma^{2} x^{2} / 2}\). Find the average position of the particle.,"\[
\langle x\rangle=\int_{-\infty}^{\infty} \psi^{*}(x) \, x \, \psi(x) \, \mathrm{d}x = \sqrt{\frac{\gamma^{2}}{\pi}} \int_{-\infty}^{\infty} \mathrm{e}^{-\gamma^{2} x^{2}} x \, \mathrm{d}x
\]
Since \( x \) is an odd function, the integral is 0.",\boxed{0},NV,,False,EN,Math Derivation
4149,Modern Physics,Quantum Mechanics,Linear Dynamics Problems,"Prove that if $(\Delta x)^{2} = \left\langle x^{2} \right\rangle$, $(\Delta p)^{2} = \left\langle p^{2} \right\rangle$, and $\Delta x \Delta p = \frac{\hbar}{2}$, then the minimum energy of a harmonic oscillator is $\frac{\hbar \omega}{2}$.","For the harmonic oscillator, we have

$$
\langle x \rangle = \langle p \rangle = 0
$$

Therefore,

$$
(\Delta x)^{2} = \left\langle x^{2} \right\rangle, \quad (\Delta p)^{2} = \left\langle p^{2} \right\rangle
$$

The Hamiltonian of the harmonic oscillator is

$$
\begin{gathered}
H = \frac{p^{2}}{2m} + \frac{m \omega^{2}}{2} x^{2} \\
\langle H \rangle = \frac{\left\langle p^{2} \right\rangle}{2m} + \frac{m \omega^{2}}{2} \left\langle x^{2} \right\rangle = \frac{\langle \Delta p \rangle^{2}}{2m} + \frac{m \omega^{2}}{2} \langle \Delta x \rangle^{2}
\end{gathered}
$$

Using $\sqrt{ab} \leq \frac{a+b}{2}$ (where $a, b$ are real numbers), we obtain

$$
\langle H \rangle_{\min} = \sqrt{\langle \Delta p \rangle^{2} \langle \Delta x \rangle^{2}} \omega = \frac{\hbar \omega}{2}
$$",\boxed{\frac{\hbar \omega}{2}},NV,\text{Joules},False,EN,Math Derivation
4150,Modern Physics,Quantum Mechanics,Basic Principles of Quantum Mechanics,Find the Hermitian conjugate operator of $\mathrm{i} \frac{\partial}{\partial r}$ for the domain $(0 \leqslant r<\infty)$.,"From previous derivations, we know:

$$
\left(\mathrm{i} \frac{\partial}{\partial r}\right)^{\dagger} = \mathrm{i}\left(\frac{2}{r}+\frac{\partial}{\partial r}\right)
$$

The above derivation requires that $\left.\psi^{*} r^{2}\right|_{0}^{\infty} = 0$.",\boxed{\mathrm{i}\left(\frac{2}{r}+\frac{\partial}{\partial r}\right)},EX,,False,EN,Math Derivation
4151,Modern Physics,Quantum Mechanics,Basic Principles of Quantum Mechanics,A $\gamma$ photon passing near an atomic nucleus N may undergo photon decay and electron-positron pair annihilation. Explain the possibility of the reverse process $\mathrm{N}+e^{+}+e^{-} \rightarrow \gamma+\mathrm{N}$.,"The reverse process $\mathrm{N}+e^{+}+e^{-} \rightarrow \gamma+\mathrm{N}$ can also occur, where the electron-positron pair annihilates to produce a photon. However, the probability of this process occurring is very small.",\boxed{Yes},TF,,False,EN,Laws Application
