index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
2860,Mechanics and Thermodynamics,Statistical Mechanics,Maxwell-Boltzmann Statistics,"20 grams of ice at 0C is dropped into a beaker containing 120 grams of water at 70C. Ignore the heat capacity of the beaker, and calculate the final temperature after mixing (latent heat of fusion for ice is 80 cal/g). Assume the temperature at thermal equilibrium after mixing is \(T^{\circ} \mathrm{C}\). Use the following heat balance equation:

\[
M_{1} L_{\text{ice}} + M_{1} c_{\mathrm{p, water}} T = M_{2} c_{\mathrm{p, water}} (70-T)
\]

Substitute the parameters \(M_{1} = 20 \mathrm{~g}, M_{2} = 120 \mathrm{~g}, L_{\text{ice}} = 80 \mathrm{cal/g}\), and \(c_{\mathrm{p, water}} = 1 \mathrm{cal/g \, \degree C}\) into the equation, and solve for the temperature \(T\).","When the gas is in equilibrium at temperature \(T\), it follows the Maxwell velocity distribution law. The number of molecules within a unit volume with velocities between \(\boldsymbol{v}\) and \(\boldsymbol{v}+\mathrm{d} \boldsymbol{v}\) is given by:

\[
f(v) \mathrm{d} v=n\left(\frac{m}{2 \pi k T}\right)^{3 / 2} \exp \left(-\frac{m v^{2}}{2 k T}\right) \mathrm{d} v \tag{1}
\]

To calculate the number of collisions, consider the two types of molecules as elastic hard spheres with diameters \(d_{1}\) and \(d_{2}\). Using the center of a molecule of the first type as the sphere's center and a radius of \(d_{12}=(d_{1}+d_{2})/2\), the sphere surface is conceptualized. When two molecules collide, the center of the second type must be on this imaginary sphere, with \(v_{r}=v_{2}-v_{1}\) being the relative velocity of molecule 2 concerning molecule 1. In a time \(\mathrm{d} t\), for the second type of molecule to collide with the first within the solid angle element \(\mathrm{d} \Omega\) along the axis direction \(\boldsymbol{n}\), it must be located within a cylinder with base \(d_{12}^{2} \mathrm{d} \Omega\) and height \(v_{r} \cos \theta \mathrm{d} t\). The volume of this cylinder is:

\[
\mathrm{d} \tau=d_{12}^{2} v_{r} \cos \theta \mathrm{d} \Omega \mathrm{d} t \tag{2}
\]

Therefore, in time \(\mathrm{d} t\), the number of collisions within the solid angle element \(\mathrm{d} \Omega\) along the axis \(\boldsymbol{n}\) between a molecule 1 with speed \(\boldsymbol{v}_{1}\) and molecule 2 with speeds in the range \(\boldsymbol{v}_{2}\) to \(\boldsymbol{v}_{2}+\mathrm{d} \boldsymbol{v}_{2}\) is:

\[
f_{2}\left(\boldsymbol{v}_{2}\right) \mathrm{d} \boldsymbol{v}_{2} \mathrm{d} \tau = d_{12}^{2} v_{r} \cos \theta f_{2}\left(\boldsymbol{v}_{2}\right) \mathrm{d} \boldsymbol{v}_{2} \mathrm{d} \Omega \mathrm{d} t \tag{3}
\]

Thus, the average number of collisions in unit time between one molecule of the first type and all molecules of the second type is:

\[
\overline{\Theta_{12}} = \frac{1}{n_{1}} \iiint d_{12}^{2} v_{r} \cos \theta \cdot f_{1}\left(\boldsymbol{v}_{1}\right) f_{2}\left(\boldsymbol{v}_{2}\right) \mathrm{d} \boldsymbol{v}_{1} \mathrm{d} \boldsymbol{v}_{2} \mathrm{d} \Omega \tag{5}
\]

Completing the angular integration:

\[
\int \cos \theta \mathrm{d} \Omega = \int_{0}^{2 \pi} \mathrm{d} \varphi \cdot \int_{0}^{\pi} \cos \theta \sin \theta \mathrm{d} \theta = \pi \tag{6}
\]

We find:

\[
\overline{\Theta_{12}} = \pi n_{2} d_{12}^{2}\left(\frac{m_{1}}{2 \pi k T}\right)^{3/2}\left(\frac{m_{2}}{2 \pi k T}\right)^{3/2} \iint v_{r} \exp \left(-\frac{m_{1} v_{1}^{2}+m_{2} v_{2}^{2}}{2 k T}\right) \mathrm{d} \boldsymbol{v}_{1} \mathrm{d} \boldsymbol{v}_{2} \tag{7}
\]

Introducing the velocity of the center of mass:

\[
\boldsymbol{v}_{\mathrm{c}} = \frac{1}{m_{1}+m_{2}}\left(m_{1} \boldsymbol{v}_{1}+m_{2} \boldsymbol{v}_{2}\right) \tag{8}
\]

We have:

\[
\frac{1}{2} m_{1} v_{1}^{2}+\frac{1}{2} m_{2} v_{2}^{2}=\frac{1}{2} M v_{\mathrm{c}}^{2}+\frac{1}{2} \mu v_{r}^{2} \tag{9}
\]

And

\[
\mathrm{d} \boldsymbol{v}_{\mathrm{c}} \mathrm{d} \boldsymbol{v}_{r}=|J| \mathrm{d} \boldsymbol{v}_{1} \mathrm{d} \boldsymbol{v}_{2} \tag{10}
\]

where \(M=m_{1}+m_{2}\) is the total mass of the two molecules, and \(\mu=m_{1} m_{2} /(m_{1}+m_{2})\) is the reduced mass of the two molecules. The absolute value of the Jacobian determinant is:

\[
|J|= \left|\frac{\partial(\boldsymbol{v}_{\mathrm{c}}, \boldsymbol{v}_{r})}{\partial(\boldsymbol{v}_{1}, \boldsymbol{v}_{2})}\right|=1 \tag{11}
\]

Substituting these results into equation (7), we finally obtain the average frequency of collisions between a molecule of the first type and those of the second type:

\[
\overline{\Theta_{12}} = \pi n_{2} d_{12}^{2}\left(\frac{m_{1}}{2 \pi k T}\right)^{3/2}\left(\frac{m_{2}}{2 \pi k T}\right)^{3/2} \int \exp \left(-\frac{M v_{c}^{2}}{2 k T}\right) \mathrm{d} v_{\mathrm{c}} \cdot \int v_{r} \exp \left(-\frac{\mu v_{r}^{2}}{2 k T}\right) \mathrm{d} v_{r} = \pi n_{2} d_{12}^{2} \sqrt{\frac{8 k T}{\pi \mu}} = \pi n_{2} d_{12}^{2}\left(1+\frac{m_{1}}{m_{2}}\right)^{1/2} \overline{v_{1}} \tag{12}
\]

where \(\overline{v_{1}}=\sqrt{8 k T / \pi m_{1}}\) is the average speed of the first type of molecule, and \(n_{1}\) and \(n_{2}\) are the molecular number densities of the first and second types of gas molecules, respectively. For identical molecules, the average collision frequency is \(\Theta=\sqrt{2} n \pi d^{2} v\).",\boxed{48.57},NV,\mathrm{^\circ C},False,EN,Laws Application
2909,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A system composed of \(N\) nearly independent particles follows Boltzmann statistics, where each particle can occupy any of the three non-degenerate energy levels \(-E, 0, +E\). The system is in contact with a heat reservoir at temperature \(T\). What is the entropy of the system when \(T=0 \mathrm{~K}\)?","When \(T=0 \mathrm{~K}\), the entropy of the system \(S(0)=0\).",\boxed{0},NV,,False,EN,Laws Application
2927,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A system consists of \(N\) nearly independent particles, each with mass \(m\), reaching thermal equilibrium at high temperatures. The particles undergo one-dimensional oscillations around their equilibrium positions. Determine the heat capacity of the system when the restoring force is proportional to the displacement \(x\).","According to the virial theorem, if the potential \(V\) experienced by the molecules is \(V \propto x^{n}\), then the relationship between the average kinetic energy \(\bar{T}\) and the average potential energy \(\bar{V}\) is \(2\bar{T} = n\bar{V}\). Based on the equipartition theorem, for one-dimensional motion, \(\bar{T} = \frac{1}{2}kT\). Under the condition \(f \propto x, V \propto x^{2}, n=2\), we have \(\bar{V} = \bar{T} = \frac{1}{2}kT\). The total energy is \(E = \bar{T} + \bar{V} = kT\). The heat capacity for one molecule is \(k\), and the specific heat capacity of the system is \(c_{V} = Nk\).",\boxed{Nk},EX,,False,EN,Laws Application
2932,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A system consists of two atoms, each with three quantum states with energies $0, \varepsilon$, and $2 \varepsilon$. The system is in contact with a large heat reservoir at temperature $T$. Write down the partition function $Z$ for the system assuming classical statistics and distinguishable particles.",$Z = \left(1 + \mathrm{e}^{-\beta \varepsilon} + \mathrm{e}^{-2 \beta \varepsilon}\right)^{2}$,\boxed{Z = \left(1 + \mathrm{e}^{-\beta \varepsilon} + \mathrm{e}^{-2 \beta \varepsilon}\right)^{2}},EQ,,False,EN,Knowledge Recall
2941,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A system consisting of \(N\) nearly independent particles obeys Boltzmann statistics, where each particle can occupy one of three non-degenerate energy levels \(-E, 0, +E\). The system is in contact with a heat reservoir at temperature \(T\). What is the maximum entropy of the system?","The maximum entropy of the system

\[
S_{\max} = k \ln \Omega_{\max} = k \ln 3^{N} = N k \ln 3
\]",\boxed{N k \ln 3},NV,,False,EN,Knowledge Recall
2947,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A system consists of two atoms, each with three quantum states, with energies $0, \varepsilon$, and $2\varepsilon$. The system is in contact with a large heat reservoir at temperature $T$. Please write down the partition function $Z$ of the system under Fermi-Dirac statistics.",$Z = \mathrm{e}^{-\beta \varepsilon} + \mathrm{e}^{-2 \beta \varepsilon} + \mathrm{e}^{-3 \beta \varepsilon}$,\boxed{\mathrm{e}^{-\beta \varepsilon} + \mathrm{e}^{-2 \beta \varepsilon} + \mathrm{e}^{-3 \beta \varepsilon}},EX,,False,EN,Laws Application
2954,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A system is composed of \(N\) fixed particles, each with a spin of \(\frac{1}{2}\) and a magnetic moment of \(\mu_{0}\). The system is situated in a uniform external field \(H\), with the spins interacting only with the magnetic field and being otherwise free. If the system's equilibrium temperature is \(T\), determine the total magnetic moment and energy.","Let \(\bar{\mu}\) be the average magnetic moment of each particle under the influence of the external field at thermal equilibrium, then the total magnetic moment \(M = N \bar{\mu}\), and  

thus  

\[
\bar{\mu} = \mu_{0} \frac{\mathrm{e}^{\mu_{0} H / k T} - \mathrm{e}^{-\mu_{0} H / k T}}{\mathrm{e}^{\mu_{0} H / k T} + \mathrm{e}^{-\mu_{0} H / k T}} = \mu_{0} \tanh \left(\frac{\mu_{0} H}{k T}\right)
\]

\[
E = -N \mu_{0} H \tanh \left(\frac{\mu_{0} H}{k T}\right)
\]","\boxed{M = N \mu_{0} \tanh \left(\frac{\mu_{0} H}{k T}\right), E = -N \mu_{0} H \tanh \left(\frac{\mu_{0} H}{k T}\right)}",EQ,"None, None",True,EN,Laws Application
2957,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A system consisting of \(N\) nearly independent particles follows Boltzmann statistics, where each particle can occupy one of three non-degenerate energy levels: \(-E\), 0, or \(+E\). The system is in contact with a thermal reservoir at temperature \(T\). What is the minimum energy of the system?",The minimum possible energy of the system is \(-N E\).,\(\boxed{-N E}\),NV,,False,EN,Knowledge Recall
2958,Mechanics and Thermodynamics,Statistical Mechanics,Distribution Function and Statistical Entropy,"A young man lives at location $A$ in a city grid, and his girlfriend lives at location $B$. Location $B$ is $m$ blocks east of $A$ and $n$ blocks north of $A$. The young man walks to his girlfriend's place by always taking steps that bring him closer to her, and he never retraces his steps. Find out how many different walking routes there are for the young man from $A$ to $B$.","At each intersection, the young man can choose to move east (e) or north (n). The number of e's and n's are $m$ and $n$, respectively. Therefore, a specific route can be represented by a sequence (for example, n, n, e, n, \cdots, e). For instance, the route shown in the diagram corresponds to the sequence $(\mathrm{e}, \mathrm{n}, \mathrm{n}, \mathrm{n}, \mathrm{e}, \mathrm{e}, \mathrm{n})$. The number of such sequences is given by $\frac{(m+n)!}{m! \cdot n!}$. This is the number of possible walking routes we are looking for.",\boxed{\frac{(m+n)!}{m! \cdot n!}},NV,,False,EN,
2959,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A system consisting of \(N\) nearly independent particles follows Boltzmann statistics, where each particle can occupy any one of three non-degenerate energy levels: \(-E, 0, +E\). The system is in contact with a heat reservoir at temperature \(T\). What is the partition function of the system?","The partition function of the system is

\[
Z = \left(\mathrm{e}^{E / k T} + 1 + \mathrm{e}^{-E / k T}\right)^{N}
\]",\(\boxed{\left(\mathrm{e}^{E / k T} + 1 + \mathrm{e}^{-E / k T}\right)^{N}}\),EX,,False,EN,Laws Application
